Date,Sheet_Source,Metric,Value
01-01-2027,Subscribers & Revenue,New Monthly Subscribers,2786
01-02-2027,Subscribers & Revenue,New Monthly Subscribers,3065
01-03-2027,Subscribers & Revenue,New Monthly Subscribers,3372
01-04-2027,Subscribers & Revenue,New Monthly Subscribers,3709
01-05-2027,Subscribers & Revenue,New Monthly Subscribers,4080
01-06-2027,Subscribers & Revenue,New Monthly Subscribers,4488
01-07-2027,Subscribers & Revenue,New Monthly Subscribers,4937
01-08-2027,Subscribers & Revenue,New Monthly Subscribers,5431
01-09-2027,Subscribers & Revenue,New Monthly Subscribers,5974
01-10-2027,Subscribers & Revenue,New Monthly Subscribers,6571
01-11-2027,Subscribers & Revenue,New Monthly Subscribers,7228
01-12-2027,Subscribers & Revenue,New Monthly Subscribers,7951
01-01-2028,Subscribers & Revenue,New Monthly Subscribers,8746
01-02-2028,Subscribers & Revenue,New Monthly Subscribers,9621
01-03-2028,Subscribers & Revenue,New Monthly Subscribers,10583
01-04-2028,Subscribers & Revenue,New Monthly Subscribers,11641
01-05-2028,Subscribers & Revenue,New Monthly Subscribers,12805
01-06-2028,Subscribers & Revenue,New Monthly Subscribers,14086
01-07-2028,Subscribers & Revenue,New Monthly Subscribers,15495
01-08-2028,Subscribers & Revenue,New Monthly Subscribers,17045
01-09-2028,Subscribers & Revenue,New Monthly Subscribers,18750
01-10-2028,Subscribers & Revenue,New Monthly Subscribers,20625
01-11-2028,Subscribers & Revenue,New Monthly Subscribers,22688
01-12-2028,Subscribers & Revenue,New Monthly Subscribers,24957
01-02-2024,Subscribers & Revenue,% growth,0.1
01-03-2024,Subscribers & Revenue,% growth,0.1
01-04-2024,Subscribers & Revenue,% growth,0.1
01-05-2024,Subscribers & Revenue,% growth,0.1
01-06-2024,Subscribers & Revenue,% growth,0.1
01-07-2024,Subscribers & Revenue,% growth,0.1
01-08-2024,Subscribers & Revenue,% growth,0.1
01-09-2024,Subscribers & Revenue,% growth,0.1
01-10-2024,Subscribers & Revenue,% growth,0.1
01-11-2024,Subscribers & Revenue,% growth,0.1
01-12-2024,Subscribers & Revenue,% growth,0.1
01-01-2025,Subscribers & Revenue,% growth,0.1
01-02-2025,Subscribers & Revenue,% growth,0.1
01-03-2025,Subscribers & Revenue,% growth,0.1
01-04-2025,Subscribers & Revenue,% growth,0.1
01-05-2025,Subscribers & Revenue,% growth,0.1
01-06-2025,Subscribers & Revenue,% growth,0.1
01-07-2025,Subscribers & Revenue,% growth,0.1
01-08-2025,Subscribers & Revenue,% growth,0.1
01-09-2025,Subscribers & Revenue,% growth,0.1
01-10-2025,Subscribers & Revenue,% growth,0.1
01-11-2025,Subscribers & Revenue,% growth,0.1
01-12-2025,Subscribers & Revenue,% growth,0.1
01-01-2026,Subscribers & Revenue,% growth,0.1
01-02-2026,Subscribers & Revenue,% growth,0.1
01-03-2026,Subscribers & Revenue,% growth,0.1
01-04-2026,Subscribers & Revenue,% growth,0.1
01-05-2026,Subscribers & Revenue,% growth,0.1
01-06-2026,Subscribers & Revenue,% growth,0.1
01-07-2026,Subscribers & Revenue,% growth,0.1
01-08-2026,Subscribers & Revenue,% growth,0.1
01-09-2026,Subscribers & Revenue,% growth,0.1
01-10-2026,Subscribers & Revenue,% growth,0.1
01-11-2026,Subscribers & Revenue,% growth,0.1
01-12-2026,Subscribers & Revenue,% growth,0.1
01-01-2027,Subscribers & Revenue,% growth,0.1
01-02-2027,Subscribers & Revenue,% growth,0.1
01-03-2027,Subscribers & Revenue,% growth,0.1
01-04-2027,Subscribers & Revenue,% growth,0.1
01-05-2027,Subscribers & Revenue,% growth,0.1
01-06-2027,Subscribers & Revenue,% growth,0.1
01-07-2027,Subscribers & Revenue,% growth,0.1
01-08-2027,Subscribers & Revenue,% growth,0.1
01-09-2027,Subscribers & Revenue,% growth,0.1
01-10-2027,Subscribers & Revenue,% growth,0.1
01-11-2027,Subscribers & Revenue,% growth,0.1
01-12-2027,Subscribers & Revenue,% growth,0.1
01-01-2028,Subscribers & Revenue,% growth,0.1
01-02-2028,Subscribers & Revenue,% growth,0.1
01-03-2028,Subscribers & Revenue,% growth,0.1
01-04-2028,Subscribers & Revenue,% growth,0.1
01-05-2028,Subscribers & Revenue,% growth,0.1
01-06-2028,Subscribers & Revenue,% growth,0.1
01-07-2028,Subscribers & Revenue,% growth,0.1
01-08-2028,Subscribers & Revenue,% growth,0.1
01-09-2028,Subscribers & Revenue,% growth,0.1
01-10-2028,Subscribers & Revenue,% growth,0.1
01-11-2028,Subscribers & Revenue,% growth,0.1
01-12-2028,Subscribers & Revenue,% growth,0.1
01-01-2024,Subscribers & Revenue,Previous Month Active Subscribers,0
01-02-2024,Subscribers & Revenue,Previous Month Active Subscribers,90
01-03-2024,Subscribers & Revenue,Previous Month Active Subscribers,175
01-04-2024,Subscribers & Revenue,Previous Month Active Subscribers,258
01-05-2024,Subscribers & Revenue,Previous Month Active Subscribers,339
01-06-2024,Subscribers & Revenue,Previous Month Active Subscribers,420
01-07-2024,Subscribers & Revenue,Previous Month Active Subscribers,502
01-08-2024,Subscribers & Revenue,Previous Month Active Subscribers,587
01-09-2024,Subscribers & Revenue,Previous Month Active Subscribers,675
01-10-2024,Subscribers & Revenue,Previous Month Active Subscribers,768
01-11-2024,Subscribers & Revenue,Previous Month Active Subscribers,866
01-12-2024,Subscribers & Revenue,Previous Month Active Subscribers,970
01-01-2025,Subscribers & Revenue,Previous Month Active Subscribers,1081
01-02-2025,Subscribers & Revenue,Previous Month Active Subscribers,1202
01-03-2025,Subscribers & Revenue,Previous Month Active Subscribers,1333
01-04-2025,Subscribers & Revenue,Previous Month Active Subscribers,1475
01-05-2025,Subscribers & Revenue,Previous Month Active Subscribers,1630
01-06-2025,Subscribers & Revenue,Previous Month Active Subscribers,1799
01-07-2025,Subscribers & Revenue,Previous Month Active Subscribers,1984
01-08-2025,Subscribers & Revenue,Previous Month Active Subscribers,2187
01-09-2025,Subscribers & Revenue,Previous Month Active Subscribers,2410
01-10-2025,Subscribers & Revenue,Previous Month Active Subscribers,2654
01-11-2025,Subscribers & Revenue,Previous Month Active Subscribers,2923
01-12-2025,Subscribers & Revenue,Previous Month Active Subscribers,3219
01-01-2026,Subscribers & Revenue,Previous Month Active Subscribers,3543
01-02-2026,Subscribers & Revenue,Previous Month Active Subscribers,3900
01-03-2026,Subscribers & Revenue,Previous Month Active Subscribers,4292
01-04-2026,Subscribers & Revenue,Previous Month Active Subscribers,4723
01-05-2026,Subscribers & Revenue,Previous Month Active Subscribers,5198
01-06-2026,Subscribers & Revenue,Previous Month Active Subscribers,5719
01-07-2026,Subscribers & Revenue,Previous Month Active Subscribers,6292
01-08-2026,Subscribers & Revenue,Previous Month Active Subscribers,6922
01-09-2026,Subscribers & Revenue,Previous Month Active Subscribers,7615
01-10-2026,Subscribers & Revenue,Previous Month Active Subscribers,8377
01-11-2026,Subscribers & Revenue,Previous Month Active Subscribers,9214
01-12-2026,Subscribers & Revenue,Previous Month Active Subscribers,10135
01-01-2027,Subscribers & Revenue,Previous Month Active Subscribers,11148
01-02-2027,Subscribers & Revenue,Previous Month Active Subscribers,12262
01-03-2027,Subscribers & Revenue,Previous Month Active Subscribers,13488
01-04-2027,Subscribers & Revenue,Previous Month Active Subscribers,14837
01-05-2027,Subscribers & Revenue,Previous Month Active Subscribers,16320
01-06-2027,Subscribers & Revenue,Previous Month Active Subscribers,17952
01-07-2027,Subscribers & Revenue,Previous Month Active Subscribers,19747
01-08-2027,Subscribers & Revenue,Previous Month Active Subscribers,21722
01-09-2027,Subscribers & Revenue,Previous Month Active Subscribers,23895
01-10-2027,Subscribers & Revenue,Previous Month Active Subscribers,26285
01-11-2027,Subscribers & Revenue,Previous Month Active Subscribers,28913
01-12-2027,Subscribers & Revenue,Previous Month Active Subscribers,31804
01-01-2028,Subscribers & Revenue,Previous Month Active Subscribers,34984
01-02-2028,Subscribers & Revenue,Previous Month Active Subscribers,38482
01-03-2028,Subscribers & Revenue,Previous Month Active Subscribers,42331
01-04-2028,Subscribers & Revenue,Previous Month Active Subscribers,46564
01-05-2028,Subscribers & Revenue,Previous Month Active Subscribers,51220
01-06-2028,Subscribers & Revenue,Previous Month Active Subscribers,56342
01-07-2028,Subscribers & Revenue,Previous Month Active Subscribers,61977
01-08-2028,Subscribers & Revenue,Previous Month Active Subscribers,68175
01-09-2028,Subscribers & Revenue,Previous Month Active Subscribers,74994
01-10-2028,Subscribers & Revenue,Previous Month Active Subscribers,82495
01-11-2028,Subscribers & Revenue,Previous Month Active Subscribers,90746
01-12-2028,Subscribers & Revenue,Previous Month Active Subscribers,99822
01-01-2024,Subscribers & Revenue,(+) New Subscribers,90
01-02-2024,Subscribers & Revenue,(+) New Subscribers,99
01-03-2024,Subscribers & Revenue,(+) New Subscribers,109
01-04-2024,Subscribers & Revenue,(+) New Subscribers,120
01-05-2024,Subscribers & Revenue,(+) New Subscribers,132
01-06-2024,Subscribers & Revenue,(+) New Subscribers,145
01-07-2024,Subscribers & Revenue,(+) New Subscribers,160
01-08-2024,Subscribers & Revenue,(+) New Subscribers,176
01-09-2024,Subscribers & Revenue,(+) New Subscribers,194
01-10-2024,Subscribers & Revenue,(+) New Subscribers,213
01-11-2024,Subscribers & Revenue,(+) New Subscribers,234
01-12-2024,Subscribers & Revenue,(+) New Subscribers,257
01-01-2025,Subscribers & Revenue,(+) New Subscribers,283
01-02-2025,Subscribers & Revenue,(+) New Subscribers,311
01-03-2025,Subscribers & Revenue,(+) New Subscribers,342
01-04-2025,Subscribers & Revenue,(+) New Subscribers,376
01-05-2025,Subscribers & Revenue,(+) New Subscribers,414
01-06-2025,Subscribers & Revenue,(+) New Subscribers,455
01-07-2025,Subscribers & Revenue,(+) New Subscribers,501
01-08-2025,Subscribers & Revenue,(+) New Subscribers,551
01-09-2025,Subscribers & Revenue,(+) New Subscribers,606
01-10-2025,Subscribers & Revenue,(+) New Subscribers,667
01-11-2025,Subscribers & Revenue,(+) New Subscribers,734
01-12-2025,Subscribers & Revenue,(+) New Subscribers,807
01-01-2026,Subscribers & Revenue,(+) New Subscribers,888
01-02-2026,Subscribers & Revenue,(+) New Subscribers,977
01-03-2026,Subscribers & Revenue,(+) New Subscribers,1075
01-04-2026,Subscribers & Revenue,(+) New Subscribers,1183
01-05-2026,Subscribers & Revenue,(+) New Subscribers,1301
01-06-2026,Subscribers & Revenue,(+) New Subscribers,1431
01-07-2026,Subscribers & Revenue,(+) New Subscribers,1574
01-08-2026,Subscribers & Revenue,(+) New Subscribers,1731
01-09-2026,Subscribers & Revenue,(+) New Subscribers,1904
01-10-2026,Subscribers & Revenue,(+) New Subscribers,2094
01-11-2026,Subscribers & Revenue,(+) New Subscribers,2303
01-12-2026,Subscribers & Revenue,(+) New Subscribers,2533
01-01-2027,Subscribers & Revenue,(+) New Subscribers,2786
01-02-2027,Subscribers & Revenue,(+) New Subscribers,3065
01-03-2027,Subscribers & Revenue,(+) New Subscribers,3372
01-04-2027,Subscribers & Revenue,(+) New Subscribers,3709
01-05-2027,Subscribers & Revenue,(+) New Subscribers,4080
01-06-2027,Subscribers & Revenue,(+) New Subscribers,4488
01-07-2027,Subscribers & Revenue,(+) New Subscribers,4937
01-08-2027,Subscribers & Revenue,(+) New Subscribers,5431
01-09-2027,Subscribers & Revenue,(+) New Subscribers,5974
01-10-2027,Subscribers & Revenue,(+) New Subscribers,6571
01-11-2027,Subscribers & Revenue,(+) New Subscribers,7228
01-12-2027,Subscribers & Revenue,(+) New Subscribers,7951
01-01-2028,Subscribers & Revenue,(+) New Subscribers,8746
01-02-2028,Subscribers & Revenue,(+) New Subscribers,9621
01-03-2028,Subscribers & Revenue,(+) New Subscribers,10583
01-04-2028,Subscribers & Revenue,(+) New Subscribers,11641
01-05-2028,Subscribers & Revenue,(+) New Subscribers,12805
01-06-2028,Subscribers & Revenue,(+) New Subscribers,14086
01-07-2028,Subscribers & Revenue,(+) New Subscribers,15495
01-08-2028,Subscribers & Revenue,(+) New Subscribers,17045
01-09-2028,Subscribers & Revenue,(+) New Subscribers,18750
01-10-2028,Subscribers & Revenue,(+) New Subscribers,20625
01-11-2028,Subscribers & Revenue,(+) New Subscribers,22688
01-12-2028,Subscribers & Revenue,(+) New Subscribers,24957
01-01-2024,Subscribers & Revenue,(–) Churned Subscribers,0
01-02-2024,Subscribers & Revenue,(–) Churned Subscribers,-14
01-03-2024,Subscribers & Revenue,(–) Churned Subscribers,-26
01-04-2024,Subscribers & Revenue,(–) Churned Subscribers,-39
01-05-2024,Subscribers & Revenue,(–) Churned Subscribers,-51
01-06-2024,Subscribers & Revenue,(–) Churned Subscribers,-63
01-07-2024,Subscribers & Revenue,(–) Churned Subscribers,-75
01-08-2024,Subscribers & Revenue,(–) Churned Subscribers,-88
01-09-2024,Subscribers & Revenue,(–) Churned Subscribers,-101
01-10-2024,Subscribers & Revenue,(–) Churned Subscribers,-115
01-11-2024,Subscribers & Revenue,(–) Churned Subscribers,-130
01-12-2024,Subscribers & Revenue,(–) Churned Subscribers,-146
01-01-2025,Subscribers & Revenue,(–) Churned Subscribers,-162
01-02-2025,Subscribers & Revenue,(–) Churned Subscribers,-180
01-03-2025,Subscribers & Revenue,(–) Churned Subscribers,-200
01-04-2025,Subscribers & Revenue,(–) Churned Subscribers,-221
01-05-2025,Subscribers & Revenue,(–) Churned Subscribers,-245
01-06-2025,Subscribers & Revenue,(–) Churned Subscribers,-270
01-07-2025,Subscribers & Revenue,(–) Churned Subscribers,-298
01-08-2025,Subscribers & Revenue,(–) Churned Subscribers,-328
01-09-2025,Subscribers & Revenue,(–) Churned Subscribers,-362
01-10-2025,Subscribers & Revenue,(–) Churned Subscribers,-398
01-11-2025,Subscribers & Revenue,(–) Churned Subscribers,-438
01-12-2025,Subscribers & Revenue,(–) Churned Subscribers,-483
01-01-2026,Subscribers & Revenue,(–) Churned Subscribers,-531
01-02-2026,Subscribers & Revenue,(–) Churned Subscribers,-585
01-03-2026,Subscribers & Revenue,(–) Churned Subscribers,-644
01-04-2026,Subscribers & Revenue,(–) Churned Subscribers,-708
01-05-2026,Subscribers & Revenue,(–) Churned Subscribers,-780
01-06-2026,Subscribers & Revenue,(–) Churned Subscribers,-858
01-07-2026,Subscribers & Revenue,(–) Churned Subscribers,-944
01-08-2026,Subscribers & Revenue,(–) Churned Subscribers,-1038
01-09-2026,Subscribers & Revenue,(–) Churned Subscribers,-1142
01-10-2026,Subscribers & Revenue,(–) Churned Subscribers,-1257
01-11-2026,Subscribers & Revenue,(–) Churned Subscribers,-1382
01-12-2026,Subscribers & Revenue,(–) Churned Subscribers,-1520
01-01-2027,Subscribers & Revenue,(–) Churned Subscribers,-1672
01-02-2027,Subscribers & Revenue,(–) Churned Subscribers,-1839
01-03-2027,Subscribers & Revenue,(–) Churned Subscribers,-2023
01-04-2027,Subscribers & Revenue,(–) Churned Subscribers,-2226
01-05-2027,Subscribers & Revenue,(–) Churned Subscribers,-2448
01-06-2027,Subscribers & Revenue,(–) Churned Subscribers,-2693
01-07-2027,Subscribers & Revenue,(–) Churned Subscribers,-2962
01-08-2027,Subscribers & Revenue,(–) Churned Subscribers,-3258
01-09-2027,Subscribers & Revenue,(–) Churned Subscribers,-3584
01-10-2027,Subscribers & Revenue,(–) Churned Subscribers,-3943
01-11-2027,Subscribers & Revenue,(–) Churned Subscribers,-4337
01-12-2027,Subscribers & Revenue,(–) Churned Subscribers,-4771
01-01-2028,Subscribers & Revenue,(–) Churned Subscribers,-5248
01-02-2028,Subscribers & Revenue,(–) Churned Subscribers,-5772
01-03-2028,Subscribers & Revenue,(–) Churned Subscribers,-6350
01-04-2028,Subscribers & Revenue,(–) Churned Subscribers,-6985
01-05-2028,Subscribers & Revenue,(–) Churned Subscribers,-7683
01-06-2028,Subscribers & Revenue,(–) Churned Subscribers,-8451
01-07-2028,Subscribers & Revenue,(–) Churned Subscribers,-9297
01-08-2028,Subscribers & Revenue,(–) Churned Subscribers,-10226
01-09-2028,Subscribers & Revenue,(–) Churned Subscribers,-11249
01-10-2028,Subscribers & Revenue,(–) Churned Subscribers,-12374
01-11-2028,Subscribers & Revenue,(–) Churned Subscribers,-13612
01-12-2028,Subscribers & Revenue,(–) Churned Subscribers,-14973
01-01-2024,Subscribers & Revenue,Active Monthly Subscribers,90
01-02-2024,Subscribers & Revenue,Active Monthly Subscribers,175
01-03-2024,Subscribers & Revenue,Active Monthly Subscribers,258
01-04-2024,Subscribers & Revenue,Active Monthly Subscribers,339
01-05-2024,Subscribers & Revenue,Active Monthly Subscribers,420
01-06-2024,Subscribers & Revenue,Active Monthly Subscribers,502
01-07-2024,Subscribers & Revenue,Active Monthly Subscribers,587
01-08-2024,Subscribers & Revenue,Active Monthly Subscribers,675
01-09-2024,Subscribers & Revenue,Active Monthly Subscribers,768
01-10-2024,Subscribers & Revenue,Active Monthly Subscribers,866
01-11-2024,Subscribers & Revenue,Active Monthly Subscribers,970
01-12-2024,Subscribers & Revenue,Active Monthly Subscribers,1081
01-01-2025,Subscribers & Revenue,Active Monthly Subscribers,1202
01-02-2025,Subscribers & Revenue,Active Monthly Subscribers,1333
01-03-2025,Subscribers & Revenue,Active Monthly Subscribers,1475
01-04-2025,Subscribers & Revenue,Active Monthly Subscribers,1630
01-05-2025,Subscribers & Revenue,Active Monthly Subscribers,1799
01-06-2025,Subscribers & Revenue,Active Monthly Subscribers,1984
01-07-2025,Subscribers & Revenue,Active Monthly Subscribers,2187
01-08-2025,Subscribers & Revenue,Active Monthly Subscribers,2410
01-09-2025,Subscribers & Revenue,Active Monthly Subscribers,2654
01-10-2025,Subscribers & Revenue,Active Monthly Subscribers,2923
01-11-2025,Subscribers & Revenue,Active Monthly Subscribers,3219
01-12-2025,Subscribers & Revenue,Active Monthly Subscribers,3543
01-01-2026,Subscribers & Revenue,Active Monthly Subscribers,3900
01-02-2026,Subscribers & Revenue,Active Monthly Subscribers,4292
01-03-2026,Subscribers & Revenue,Active Monthly Subscribers,4723
01-04-2026,Subscribers & Revenue,Active Monthly Subscribers,5198
01-05-2026,Subscribers & Revenue,Active Monthly Subscribers,5719
01-06-2026,Subscribers & Revenue,Active Monthly Subscribers,6292
01-07-2026,Subscribers & Revenue,Active Monthly Subscribers,6922
01-08-2026,Subscribers & Revenue,Active Monthly Subscribers,7615
01-09-2026,Subscribers & Revenue,Active Monthly Subscribers,8377
01-10-2026,Subscribers & Revenue,Active Monthly Subscribers,9214
01-11-2026,Subscribers & Revenue,Active Monthly Subscribers,10135
01-12-2026,Subscribers & Revenue,Active Monthly Subscribers,11148
01-01-2027,Subscribers & Revenue,Active Monthly Subscribers,12262
01-02-2027,Subscribers & Revenue,Active Monthly Subscribers,13488
01-03-2027,Subscribers & Revenue,Active Monthly Subscribers,14837
01-04-2027,Subscribers & Revenue,Active Monthly Subscribers,16320
01-05-2027,Subscribers & Revenue,Active Monthly Subscribers,17952
01-06-2027,Subscribers & Revenue,Active Monthly Subscribers,19747
01-07-2027,Subscribers & Revenue,Active Monthly Subscribers,21722
01-08-2027,Subscribers & Revenue,Active Monthly Subscribers,23895
01-09-2027,Subscribers & Revenue,Active Monthly Subscribers,26285
01-10-2027,Subscribers & Revenue,Active Monthly Subscribers,28913
01-11-2027,Subscribers & Revenue,Active Monthly Subscribers,31804
01-12-2027,Subscribers & Revenue,Active Monthly Subscribers,34984
01-01-2028,Subscribers & Revenue,Active Monthly Subscribers,38482
01-02-2028,Subscribers & Revenue,Active Monthly Subscribers,42331
01-03-2028,Subscribers & Revenue,Active Monthly Subscribers,46564
01-04-2028,Subscribers & Revenue,Active Monthly Subscribers,51220
01-05-2028,Subscribers & Revenue,Active Monthly Subscribers,56342
01-06-2028,Subscribers & Revenue,Active Monthly Subscribers,61977
01-07-2028,Subscribers & Revenue,Active Monthly Subscribers,68175
01-08-2028,Subscribers & Revenue,Active Monthly Subscribers,74994
01-09-2028,Subscribers & Revenue,Active Monthly Subscribers,82495
01-10-2028,Subscribers & Revenue,Active Monthly Subscribers,90746
01-11-2028,Subscribers & Revenue,Active Monthly Subscribers,99822
01-12-2028,Subscribers & Revenue,Active Monthly Subscribers,109806
01-01-2024,Subscribers & Revenue,New Annual Subscribers,55
01-02-2024,Subscribers & Revenue,New Annual Subscribers,59
01-03-2024,Subscribers & Revenue,New Annual Subscribers,63
01-04-2024,Subscribers & Revenue,New Annual Subscribers,67
01-05-2024,Subscribers & Revenue,New Annual Subscribers,72
01-06-2024,Subscribers & Revenue,New Annual Subscribers,77
01-07-2024,Subscribers & Revenue,New Annual Subscribers,82
01-08-2024,Subscribers & Revenue,New Annual Subscribers,88
01-09-2024,Subscribers & Revenue,New Annual Subscribers,94
01-10-2024,Subscribers & Revenue,New Annual Subscribers,101
01-11-2024,Subscribers & Revenue,New Annual Subscribers,108
01-12-2024,Subscribers & Revenue,New Annual Subscribers,116
01-01-2025,Subscribers & Revenue,New Annual Subscribers,124
01-02-2025,Subscribers & Revenue,New Annual Subscribers,133
01-03-2025,Subscribers & Revenue,New Annual Subscribers,142
01-04-2025,Subscribers & Revenue,New Annual Subscribers,152
01-05-2025,Subscribers & Revenue,New Annual Subscribers,163
01-06-2025,Subscribers & Revenue,New Annual Subscribers,174
01-07-2025,Subscribers & Revenue,New Annual Subscribers,186
01-08-2025,Subscribers & Revenue,New Annual Subscribers,199
01-09-2025,Subscribers & Revenue,New Annual Subscribers,213
01-10-2025,Subscribers & Revenue,New Annual Subscribers,228
01-11-2025,Subscribers & Revenue,New Annual Subscribers,244
01-12-2025,Subscribers & Revenue,New Annual Subscribers,261
01-01-2026,Subscribers & Revenue,New Annual Subscribers,279
01-02-2026,Subscribers & Revenue,New Annual Subscribers,299
01-03-2026,Subscribers & Revenue,New Annual Subscribers,320
01-04-2026,Subscribers & Revenue,New Annual Subscribers,342
01-05-2026,Subscribers & Revenue,New Annual Subscribers,366
01-06-2026,Subscribers & Revenue,New Annual Subscribers,392
01-07-2026,Subscribers & Revenue,New Annual Subscribers,419
01-08-2026,Subscribers & Revenue,New Annual Subscribers,448
01-09-2026,Subscribers & Revenue,New Annual Subscribers,479
01-10-2026,Subscribers & Revenue,New Annual Subscribers,513
01-11-2026,Subscribers & Revenue,New Annual Subscribers,549
01-12-2026,Subscribers & Revenue,New Annual Subscribers,587
01-01-2027,Subscribers & Revenue,New Annual Subscribers,628
01-02-2027,Subscribers & Revenue,New Annual Subscribers,672
01-03-2027,Subscribers & Revenue,New Annual Subscribers,719
01-04-2027,Subscribers & Revenue,New Annual Subscribers,769
01-05-2027,Subscribers & Revenue,New Annual Subscribers,823
01-06-2027,Subscribers & Revenue,New Annual Subscribers,881
01-07-2027,Subscribers & Revenue,New Annual Subscribers,943
01-08-2027,Subscribers & Revenue,New Annual Subscribers,1009
01-09-2027,Subscribers & Revenue,New Annual Subscribers,1080
01-10-2027,Subscribers & Revenue,New Annual Subscribers,1156
01-11-2027,Subscribers & Revenue,New Annual Subscribers,1237
01-12-2027,Subscribers & Revenue,New Annual Subscribers,1324
01-01-2028,Subscribers & Revenue,New Annual Subscribers,1417
01-02-2028,Subscribers & Revenue,New Annual Subscribers,1516
01-03-2028,Subscribers & Revenue,New Annual Subscribers,1622
01-04-2028,Subscribers & Revenue,New Annual Subscribers,1736
01-05-2028,Subscribers & Revenue,New Annual Subscribers,1858
01-06-2028,Subscribers & Revenue,New Annual Subscribers,1988
01-07-2028,Subscribers & Revenue,New Annual Subscribers,2127
01-08-2028,Subscribers & Revenue,New Annual Subscribers,2276
01-09-2028,Subscribers & Revenue,New Annual Subscribers,2435
01-10-2028,Subscribers & Revenue,New Annual Subscribers,2605
01-11-2028,Subscribers & Revenue,New Annual Subscribers,2787
01-12-2028,Subscribers & Revenue,New Annual Subscribers,2982
01-02-2024,Subscribers & Revenue,% growth,0.07
01-03-2024,Subscribers & Revenue,% growth,0.07
01-04-2024,Subscribers & Revenue,% growth,0.07
01-05-2024,Subscribers & Revenue,% growth,0.07
01-06-2024,Subscribers & Revenue,% growth,0.07
01-07-2024,Subscribers & Revenue,% growth,0.07
01-08-2024,Subscribers & Revenue,% growth,0.07
01-09-2024,Subscribers & Revenue,% growth,0.07
01-10-2024,Subscribers & Revenue,% growth,0.07
01-11-2024,Subscribers & Revenue,% growth,0.07
01-12-2024,Subscribers & Revenue,% growth,0.07
01-01-2025,Subscribers & Revenue,% growth,0.07
01-02-2025,Subscribers & Revenue,% growth,0.07
01-03-2025,Subscribers & Revenue,% growth,0.07
01-04-2025,Subscribers & Revenue,% growth,0.07
01-05-2025,Subscribers & Revenue,% growth,0.07
01-06-2025,Subscribers & Revenue,% growth,0.07
01-07-2025,Subscribers & Revenue,% growth,0.07
01-08-2025,Subscribers & Revenue,% growth,0.07
01-09-2025,Subscribers & Revenue,% growth,0.07
01-10-2025,Subscribers & Revenue,% growth,0.07
01-11-2025,Subscribers & Revenue,% growth,0.07
01-12-2025,Subscribers & Revenue,% growth,0.07
01-01-2026,Subscribers & Revenue,% growth,0.07
01-02-2026,Subscribers & Revenue,% growth,0.07
01-03-2026,Subscribers & Revenue,% growth,0.07
01-04-2026,Subscribers & Revenue,% growth,0.07
01-05-2026,Subscribers & Revenue,% growth,0.07
01-06-2026,Subscribers & Revenue,% growth,0.07
01-07-2026,Subscribers & Revenue,% growth,0.07
01-08-2026,Subscribers & Revenue,% growth,0.07
01-09-2026,Subscribers & Revenue,% growth,0.07
01-10-2026,Subscribers & Revenue,% growth,0.07
